기준연도,구분,값(%)
2021,전 생애 한국여행 경험,19.4
2022,전 생애 한국여행 경험,22.5
2023,전 생애 한국여행 경험,20.5
2024,전 생애 한국여행 경험,24.1
2021,향후 3년 내 한국방문 예상시기,2024년(35.7) 2022년(32.0) 2023년(28.9) 2021년 하반기(3.4)
2022,향후 3년 내 한국방문 예상시기,2023년(42.6) 2024년(31.7) 2025년(20.8) 2022년 10월~12월(4.9)
2023,향후 3년 내 한국방문 예상시기,2024년(43.0) 2025년(26.7) 2026년(19.0) 2023년 하반기(11.3)
2024,향후 3년 내 한국방문 예상시기,2025년(44.9) 2026년(23.5) 2024년 하반기(20.5) 2027년(11.2)
2021,향후 3년 내 한국여행 의향,64.6
2022,향후 3년 내 한국여행 의향,49.9
2023,향후 3년 내 한국여행 의향,52.9
2024,향후 3년 내 한국여행 의향,57.9
