기준일자,주요국가대륙명,국가명,성별,인원,전년동기,증감률
202501,대륙전체,연도,남성,418324.0,342951.0,22.0
202501,대륙전체,연도,여성,614545.0,466665.0,31.7
202501,대륙전체,연도,승무원,84374.0,71265.0,18.4
202501,대륙전체,연도,전체,1117243.0,880881.0,26.8
202501,아시아,연도대륙,남성,336151.0,267936.0,25.5
202501,아시아,연도대륙,여성,540707.0,403153.0,34.1
202501,아시아,연도대륙,승무원,59910.0,49338.0,21.4
202501,아시아,연도대륙,전체,936768.0,720427.0,30.0
202501,아시아,중국,남성,125180.0,102249.0,22.4
202501,아시아,중국,여성,226918.0,167792.0,35.2
202501,아시아,중국,승무원,12362.0,9994.0,23.7
202501,아시아,중국,전체,364460.0,280035.0,30.1
202501,아시아,일본,남성,58730.0,51047.0,15.1
202501,아시아,일본,여성,114350.0,91264.0,25.3
202501,아시아,일본,승무원,1637.0,841.0,94.6
202501,아시아,일본,전체,174717.0,143152.0,22.0
202501,아시아,대만,남성,51212.0,33180.0,54.3
202501,아시아,대만,여성,83840.0,60054.0,39.6
202501,아시아,대만,승무원,382.0,355.0,7.6
202501,아시아,대만,전체,135434.0,93589.0,44.7
202501,아시아,홍콩,남성,15750.0,8163.0,92.9
202501,아시아,홍콩,여성,28378.0,17398.0,63.1
202501,아시아,홍콩,승무원,150.0,194.0,-22.7
202501,아시아,홍콩,전체,44278.0,25755.0,71.9
202501,아시아,마카오,남성,966.0,486.0,98.8
202501,아시아,마카오,여성,1824.0,1104.0,65.2
202501,아시아,마카오,승무원,76.0,0.0,0.0
202501,아시아,마카오,전체,2866.0,1590.0,80.3
202501,아시아,필리핀,남성,13352.0,9526.0,40.2
202501,아시아,필리핀,여성,11531.0,7410.0,55.6
202501,아시아,필리핀,승무원,11857.0,9972.0,18.9
202501,아시아,필리핀,전체,36740.0,26908.0,36.5
202501,아시아,인도네시아,남성,9196.0,6773.0,35.8
202501,아시아,인도네시아,여성,10464.0,6523.0,60.4
202501,아시아,인도네시아,승무원,7856.0,5978.0,31.4
202501,아시아,인도네시아,전체,27516.0,19274.0,42.8
202501,아시아,태국,남성,6040.0,6841.0,-11.7
202501,아시아,태국,여성,11324.0,11373.0,-0.4
202501,아시아,태국,승무원,3083.0,2302.0,33.9
