기준일자,주요국가대륙명,국가명,연령,인원,전년동기,증감률
202501,대륙전체,연도,0~9세 ,39458.0,25149.0,56.9
202501,대륙전체,연도,10~19세,85281.0,55407.0,53.9
202501,대륙전체,연도,20~29세,270000.0,205795.0,31.2
202501,대륙전체,연도,30~39세,245453.0,193118.0,27.1
202501,대륙전체,연도,40~49세,170892.0,134396.0,27.2
202501,대륙전체,연도,50~59세,120808.0,102821.0,17.5
202501,대륙전체,연도,60~69세,73365.0,67843.0,8.1
202501,대륙전체,연도,70~79세,24823.0,22694.0,9.4
202501,대륙전체,연도,80세 이상,2789.0,2393.0,16.5
202501,대륙전체,연도,승무원,84374.0,71265.0,18.4
202501,대륙전체,연도,전체,1117243.0,880881.0,26.8
202501,아시아,연도대륙,0~9세 ,33619.0,20325.0,65.4
202501,아시아,연도대륙,10~19세,74676.0,45621.0,63.7
202501,아시아,연도대륙,20~29세,234296.0,176145.0,33.0
202501,아시아,연도대륙,30~39세,211744.0,164497.0,28.7
202501,아시아,연도대륙,40~49세,145520.0,111454.0,30.6
202501,아시아,연도대륙,50~59세,96654.0,79430.0,21.7
202501,아시아,연도대륙,60~69세,57812.0,53072.0,8.9
202501,아시아,연도대륙,70~79세,20380.0,18747.0,8.7
202501,아시아,연도대륙,80세 이상,2157.0,1798.0,20.0
202501,아시아,연도대륙,승무원,59910.0,49338.0,21.4
202501,아시아,연도대륙,전체,936768.0,720427.0,30.0
202501,아시아,중국,0~9세 ,13640.0,7814.0,74.6
202501,아시아,중국,10~19세,29097.0,16230.0,79.3
202501,아시아,중국,20~29세,98985.0,69151.0,43.1
202501,아시아,중국,30~39세,93789.0,71593.0,31.0
202501,아시아,중국,40~49세,52323.0,39028.0,34.1
202501,아시아,중국,50~59세,28192.0,25635.0,10.0
202501,아시아,중국,60~69세,24909.0,28399.0,-12.3
202501,아시아,중국,70~79세,10246.0,11224.0,-8.7
202501,아시아,중국,80세 이상,917.0,967.0,-5.2
202501,아시아,중국,승무원,12362.0,9994.0,23.7
202501,아시아,중국,전체,364460.0,280035.0,30.1
202501,아시아,일본,0~9세 ,2950.0,2252.0,31.0
202501,아시아,일본,10~19세,8791.0,7084.0,24.1
202501,아시아,일본,20~29세,54941.0,43084.0,27.5
202501,아시아,일본,30~39세,31269.0,25052.0,24.8
202501,아시아,일본,40~49세,25978.0,22698.0,14.5
202501,아시아,일본,50~59세,29494.0,25643.0,15.0
202501,아시아,일본,60~69세,14374.0,11791.0,21.9
202501,아시아,일본,70~79세,4566.0,4163.0,9.7
202501,아시아,일본,80세 이상,717.0,544.0,31.8
202501,아시아,일본,승무원,1637.0,841.0,94.6
202501,아시아,일본,전체,174717.0,143152.0,22.0
202501,아시아,대만,0~9세 ,8106.0,5324.0,52.3
202501,아시아,대만,10~19세,17257.0,12469.0,38.4
202501,아시아,대만,20~29세,26602.0,18823.0,41.3
202501,아시아,대만,30~39세,26269.0,17467.0,50.4
202501,아시아,대만,40~49세,29645.0,21513.0,37.8
202501,아시아,대만,50~59세,16597.0,11179.0,48.5
202501,아시아,대만,60~69세,7645.0,4782.0,59.9
202501,아시아,대만,70~79세,2693.0,1552.0,73.5
202501,아시아,대만,80세 이상,238.0,125.0,90.4
202501,아시아,대만,승무원,382.0,355.0,7.6
202501,아시아,대만,전체,135434.0,93589.0,44.7
202501,아시아,홍콩,0~9세 ,1530.0,299.0,411.7
202501,아시아,홍콩,10~19세,4798.0,1285.0,273.4
202501,아시아,홍콩,20~29세,12159.0,8878.0,37.0
202501,아시아,홍콩,30~39세,9170.0,6135.0,49.5
202501,아시아,홍콩,40~49세,7069.0,3464.0,104.1
202501,아시아,홍콩,50~59세,5524.0,3214.0,71.9
202501,아시아,홍콩,60~69세,2991.0,1818.0,64.5
202501,아시아,홍콩,70~79세,809.0,440.0,83.9
202501,아시아,홍콩,80세 이상,78.0,28.0,178.6
202501,아시아,홍콩,승무원,150.0,194.0,-22.7
202501,아시아,홍콩,전체,44278.0,25755.0,71.9
202501,아시아,마카오,0~9세 ,143.0,14.0,921.4
202501,아시아,마카오,10~19세,353.0,37.0,854.1
202501,아시아,마카오,20~29세,686.0,514.0,33.5
202501,아시아,마카오,30~39세,834.0,590.0,41.4
202501,아시아,마카오,40~49세,459.0,217.0,111.5
202501,아시아,마카오,50~59세,185.0,130.0,42.3
202501,아시아,마카오,60~69세,89.0,67.0,32.8
202501,아시아,마카오,70~79세,39.0,20.0,95.0
202501,아시아,마카오,80세 이상,2.0,1.0,100.0
202501,아시아,마카오,승무원,76.0,0.0,0.0
202501,아시아,마카오,전체,2866.0,1590.0,80.3
202501,아시아,필리핀,0~9세 ,746.0,407.0,83.3
202501,아시아,필리핀,10~19세,1333.0,861.0,54.8
202501,아시아,필리핀,20~29세,5057.0,3611.0,40.0
202501,아시아,필리핀,30~39세,8894.0,6020.0,47.7
202501,아시아,필리핀,40~49세,4545.0,3173.0,43.2
202501,아시아,필리핀,50~59세,2646.0,1836.0,44.1
202501,아시아,필리핀,60~69세,1295.0,798.0,62.3
202501,아시아,필리핀,70~79세,330.0,209.0,57.9
202501,아시아,필리핀,80세 이상,37.0,21.0,76.2
202501,아시아,필리핀,승무원,11857.0,9972.0,18.9
202501,아시아,필리핀,전체,36740.0,26908.0,36.5
202501,아시아,인도네시아,0~9세 ,882.0,496.0,77.8
202501,아시아,인도네시아,10~19세,1796.0,1072.0,67.5
202501,아시아,인도네시아,20~29세,4733.0,3633.0,30.3
202501,아시아,인도네시아,30~39세,5562.0,3592.0,54.8
202501,아시아,인도네시아,40~49세,3612.0,2410.0,49.9
202501,아시아,인도네시아,50~59세,2101.0,1411.0,48.9
202501,아시아,인도네시아,60~69세,741.0,551.0,34.5
202501,아시아,인도네시아,70~79세,212.0,121.0,75.2
202501,아시아,인도네시아,80세 이상,21.0,10.0,110.0
202501,아시아,인도네시아,승무원,7856.0,5978.0,31.4
202501,아시아,인도네시아,전체,27516.0,19274.0,42.8
202501,아시아,태국,0~9세 ,474.0,564.0,-16.0
202501,아시아,태국,10~19세,1012.0,1016.0,-0.4
202501,아시아,태국,20~29세,3450.0,3703.0,-6.8
202501,아시아,태국,30~39세,5837.0,5714.0,2.2
202501,아시아,태국,40~49세,3753.0,3803.0,-1.3
202501,아시아,태국,50~59세,1703.0,1842.0,-7.5
202501,아시아,태국,60~69세,893.0,1285.0,-30.5
202501,아시아,태국,70~79세,220.0,268.0,-17.9
202501,아시아,태국,80세 이상,22.0,19.0,15.8
202501,아시아,태국,승무원,3083.0,2302.0,33.9
202501,아시아,태국,전체,20447.0,20516.0,-0.3
202501,아시아,베트남,0~9세 ,629.0,292.0,115.4
202501,아시아,베트남,10~19세,2016.0,1366.0,47.6
202501,아시아,베트남,20~29세,5148.0,5053.0,1.9
202501,아시아,베트남,30~39세,5319.0,5402.0,-1.5
202501,아시아,베트남,40~49세,2956.0,2613.0,13.1
202501,아시아,베트남,50~59세,1312.0,1226.0,7.0
202501,아시아,베트남,60~69세,662.0,531.0,24.7
202501,아시아,베트남,70~79세,138.0,75.0,84.0
202501,아시아,베트남,80세 이상,14.0,2.0,600.0
202501,아시아,베트남,승무원,6728.0,4837.0,39.1
202501,아시아,베트남,전체,24922.0,21397.0,16.5
202501,아시아,인도,0~9세 ,133.0,101.0,31.7
202501,아시아,인도,10~19세,175.0,115.0,52.2
202501,아시아,인도,20~29세,1104.0,1066.0,3.6
202501,아시아,인도,30~39세,1919.0,1684.0,14.0
202501,아시아,인도,40~49세,1332.0,1126.0,18.3
202501,아시아,인도,50~59세,530.0,518.0,2.3
202501,아시아,인도,60~69세,124.0,83.0,49.4
202501,아시아,인도,70~79세,8.0,26.0,-69.2
202501,아시아,인도,80세 이상,0.0,2.0,-100.0
202501,아시아,인도,승무원,5458.0,5121.0,6.6
202501,아시아,인도,전체,10783.0,9842.0,9.6
202501,아시아,말레이시아,0~9세 ,2089.0,1001.0,108.7
202501,아시아,말레이시아,10~19세,3157.0,784.0,302.7
202501,아시아,말레이시아,20~29세,4899.0,3988.0,22.8
202501,아시아,말레이시아,30~39세,5703.0,4548.0,25.4
202501,아시아,말레이시아,40~49세,4138.0,2292.0,80.5
202501,아시아,말레이시아,50~59세,2296.0,1458.0,57.5
202501,아시아,말레이시아,60~69세,1239.0,657.0,88.6
202501,아시아,말레이시아,70~79세,362.0,127.0,185.0
202501,아시아,말레이시아,80세 이상,28.0,2.0,1300.0
202501,아시아,말레이시아,승무원,2277.0,2056.0,10.7
202501,아시아,말레이시아,전체,26188.0,16913.0,54.8
202501,아시아,싱가포르,0~9세 ,556.0,314.0,77.1
202501,아시아,싱가포르,10~19세,834.0,536.0,55.6
202501,아시아,싱가포르,20~29세,4209.0,3243.0,29.8
202501,아시아,싱가포르,30~39세,4094.0,3253.0,25.9
202501,아시아,싱가포르,40~49세,2399.0,2076.0,15.6
202501,아시아,싱가포르,50~59세,2541.0,2005.0,26.7
202501,아시아,싱가포르,60~69세,1283.0,907.0,41.5
202501,아시아,싱가포르,70~79세,301.0,203.0,48.3
202501,아시아,싱가포르,80세 이상,28.0,25.0,12.0
202501,아시아,싱가포르,승무원,1330.0,1474.0,-9.8
202501,아시아,싱가포르,전체,17575.0,14036.0,25.2
202501,아시아,몽골,0~9세 ,1161.0,804.0,44.4
202501,아시아,몽골,10~19세,2851.0,1550.0,83.9
202501,아시아,몽골,20~29세,2630.0,2005.0,31.2
202501,아시아,몽골,30~39세,2960.0,3051.0,-3.0
