기준일자,주요국가대륙명,국가명,목적구분,인원,전년동기,증감률
202501,대륙전체,연도,관광,912811.0,696840.0,31.0
202501,대륙전체,연도,상용,9247.0,10204.0,-9.4
202501,대륙전체,연도,공용,5429.0,4507.0,20.5
202501,대륙전체,연도,유학연수,19318.0,18077.0,6.9
202501,대륙전체,연도,기타,170438.0,151253.0,12.7
202501,대륙전체,연도,전체,1117243.0,880881.0,26.8
202501,아시아,연도대륙,관광,789695.0,589174.0,34.0
202501,아시아,연도대륙,상용,7381.0,8236.0,-10.4
202501,아시아,연도대륙,공용,1154.0,1184.0,-2.5
202501,아시아,연도대륙,유학연수,16305.0,15559.0,4.8
202501,아시아,연도대륙,기타,122233.0,106274.0,15.0
202501,아시아,연도대륙,전체,936768.0,720427.0,30.0
202501,아시아,중국,관광,309690.0,233052.0,32.9
202501,아시아,중국,상용,2377.0,2654.0,-10.4
202501,아시아,중국,공용,80.0,93.0,-14.0
202501,아시아,중국,유학연수,7242.0,7164.0,1.1
202501,아시아,중국,기타,45071.0,37072.0,21.6
202501,아시아,중국,전체,364460.0,280035.0,30.1
202501,아시아,일본,관광,168284.0,137713.0,22.2
202501,아시아,일본,상용,1490.0,1352.0,10.2
202501,아시아,일본,공용,158.0,133.0,18.8
202501,아시아,일본,유학연수,1244.0,1196.0,4.0
202501,아시아,일본,기타,3541.0,2758.0,28.4
202501,아시아,일본,전체,174717.0,143152.0,22.0
202501,아시아,대만,관광,134439.0,92626.0,45.1
202501,아시아,대만,상용,63.0,62.0,1.6
202501,아시아,대만,공용,25.0,15.0,66.7
202501,아시아,대만,유학연수,227.0,248.0,-8.5
202501,아시아,대만,기타,680.0,638.0,6.6
202501,아시아,대만,전체,135434.0,93589.0,44.7
202501,아시아,홍콩,관광,43846.0,25272.0,73.5
202501,아시아,홍콩,상용,31.0,38.0,-18.4
202501,아시아,홍콩,공용,4.0,1.0,300.0
202501,아시아,홍콩,유학연수,130.0,125.0,4.0
202501,아시아,홍콩,기타,267.0,319.0,-16.3
202501,아시아,홍콩,전체,44278.0,25755.0,71.9
202501,아시아,마카오,관광,2748.0,1553.0,76.9
202501,아시아,마카오,상용,2.0,7.0,-71.4
202501,아시아,마카오,공용,0.0,0.0,0.0
202501,아시아,마카오,유학연수,17.0,7.0,142.9
202501,아시아,마카오,기타,99.0,23.0,330.4
202501,아시아,마카오,전체,2866.0,1590.0,80.3
202501,아시아,필리핀,관광,20459.0,12554.0,63.0
202501,아시아,필리핀,상용,414.0,418.0,-1.0
202501,아시아,필리핀,공용,214.0,147.0,45.6
202501,아시아,필리핀,유학연수,186.0,223.0,-16.6
202501,아시아,필리핀,기타,15467.0,13566.0,14.0
202501,아시아,필리핀,전체,36740.0,26908.0,36.5
202501,아시아,인도네시아,관광,17161.0,10840.0,58.3
202501,아시아,인도네시아,상용,151.0,104.0,45.2
202501,아시아,인도네시아,공용,50.0,103.0,-51.5
202501,아시아,인도네시아,유학연수,234.0,255.0,-8.2
202501,아시아,인도네시아,기타,9920.0,7972.0,24.4
202501,아시아,인도네시아,전체,27516.0,19274.0,42.8
