기준년월,인천공항,김해공항,김포공항,제주공항,기타공항,부산항구,인천항구,제주항구,기타항구,환율,두바이유
202501,767250.0,82062.0,71808.0,83413.0,12494.0,23672.0,9191.0,12745.0,54608.0,1433.3,80.41
202502,787381.0,87729.0,77739.0,66450.0,11488.0,18410.0,8324.0,9505.0,71382.0,1439.6,77.92
202503,1105204.0,127386.0,100688.0,85036.0,14932.0,47262.0,30330.0,14274.0,89484.0,1466.5,72.49
202504,1113955.0,131011.0,101465.0,113005.0,14858.0,78275.0,26209.0,16321.0,112014.0,1438.5,67.74
202505,1025610.0,134361.0,101571.0,123819.0,15838.0,55024.0,27551.0,40315.0,105298.0,1381.4,63.73
202506,1033610.0,129444.0,104935.0,130241.0,18201.0,36164.0,18452.0,41944.0,106229.0,1356.4,69.26
202507,1081385.0,142944.0,109586.0,155768.0,27015.0,39978.0,20274.0,46177.0,110072.0,1382.9,70.87
202508,1150504.0,157263.0,118608.0,157749.0,30857.0,50492.0,19791.0,30609.0,104459.0,1388.6,69.39
202509,1082913.0,147271.0,114526.0,138199.0,23697.0,38934.0,29493.0,28267.0,99513.0,1402.2,70.01
202510,1141822.0,145682.0,101077.0,123201.0,24095.0,47175.0,22212.0,18198.0,115558.0,1423.2,65.0
202511,1050476.0,151927.0,111229.0,91005.0,17746.0,47594.0,18055.0,17502.0,91405.0,1464.8,64.47
202512,1051777.0,130910.0,109095.0,105991.0,17451.0,28752.0,14097.0,6052.0,54167.0,1434.9,62.05
